DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A988
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\01L.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 4:56:14.138오후
SATURATION_PRESSURE 816.499 KPa 
CALIBRATION_POINT_1 179 (Pounds) 9636 (Raw Sum) 372 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\01L.fsx
SENSITIVITY 기본
MAP_INDEX 1
SUBMAP 1
START_FRAME 1
END_FRAME 11340
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

1, 0, 2021-12-09 4:56:14.138오후, 19.93, 5.06, 6348
2, 0.01, 2021-12-09 4:56:14.148오후, 19.93, 5.06, 6342
3, 0.02, 2021-12-09 4:56:14.158오후, 19.93, 5.06, 6348
4, 0.03, 2021-12-09 4:56:14.168오후, 19.95, 5.06, 6348
5, 0.04, 2021-12-09 4:56:14.178오후, 20.00, 5.05, 6334
6, 0.05, 2021-12-09 4:56:14.188오후, 19.98, 5.05, 6346
7, 0.06, 2021-12-09 4:56:14.198오후, 19.97, 5.06, 6352
8, 0.07, 2021-12-09 4:56:14.208오후, 19.98, 5.05, 6350
9, 0.08, 2021-12-09 4:56:14.218오후, 19.98, 5.06, 6350
10, 0.09, 2021-12-09 4:56:14.228오후, 19.96, 5.05, 6357
11, 0.1, 2021-12-09 4:56:14.238오후, 20.01, 5.05, 6350
12, 0.11, 2021-12-09 4:56:14.248오후, 20.00, 5.05, 6351
13, 0.12, 2021-12-09 4:56:14.258오후, 19.98, 5.05, 6361
14, 0.13, 2021-12-09 4:56:14.268오후, 19.99, 5.06, 6358
15, 0.14, 2021-12-09 4:56:14.278오후, 20.01, 5.05, 6361
16, 0.15, 2021-12-09 4:56:14.288오후, 20.02, 5.04, 6350
17, 0.16, 2021-12-09 4:56:14.298오후, 20.01, 5.06, 6364
18, 0.17, 2021-12-09 4:56:14.308오후, 20.02, 5.06, 6353
19, 0.18, 2021-12-09 4:56:14.318오후, 20.02, 5.05, 6362
20, 0.19, 2021-12-09 4:56:14.328오후, 20.01, 5.05, 6366
21, 0.2, 2021-12-09 4:56:14.338오후, 20.01, 5.05, 6370
22, 0.21, 2021-12-09 4:56:14.348오후, 20.02, 5.05, 6376
23, 0.22, 2021-12-09 4:56:14.358오후, 20.04, 5.05, 6360
24, 0.23, 2021-12-09 4:56:14.368오후, 20.01, 5.05, 6385
25, 0.24, 2021-12-09 4:56:14.378오후, 20.03, 5.06, 6372
26, 0.25, 2021-12-09 4:56:14.388오후, 20.03, 5.05, 6379
27, 0.26, 2021-12-09 4:56:14.398오후, 20.07, 5.05, 6364
28, 0.27, 2021-12-09 4:56:14.408오후, 20.07, 5.05, 6369
29, 0.28, 2021-12-09 4:56:14.418오후, 20.07, 5.04, 6378
30, 0.29, 2021-12-09 4:56:14.428오후, 20.08, 5.04, 6379
31, 0.3, 2021-12-09 4:56:14.438오후, 20.08, 5.04, 6370
32, 0.31, 2021-12-09 4:56:14.448오후, 20.07, 5.04, 6391
33, 0.32, 2021-12-09 4:56:14.458오후, 20.05, 5.05, 6381
34, 0.33, 2021-12-09 4:56:14.468오후, 20.05, 5.04, 6393
35, 0.34, 2021-12-09 4:56:14.478오후, 20.06, 5.04, 6392
36, 0.35, 2021-12-09 4:56:14.488오후, 20.06, 5.05, 6404
37, 0.36, 2021-12-09 4:56:14.498오후, 20.03, 5.04, 6416
38, 0.37, 2021-12-09 4:56:14.508오후, 20.06, 5.04, 6414
39, 0.38, 2021-12-09 4:56:14.518오후, 20.04, 5.04, 6416
40, 0.39, 2021-12-09 4:56:14.528오후, 20.06, 5.04, 6409
41, 0.4, 2021-12-09 4:56:14.538오후, 20.07, 5.04, 6412
42, 0.41, 2021-12-09 4:56:14.548오후, 20.04, 5.04, 6415
43, 0.42, 2021-12-09 4:56:14.558오후, 20.05, 5.04, 6416
44, 0.43, 2021-12-09 4:56:14.568오후, 20.03, 5.04, 6423
