23:55:31:190,1.20,1.58,0.36,-0.19,1.63,-0.06
23:55:31:201,1.19,1.58,0.36,-0.11,-0.14,-0.03
23:55:31:211,1.21,1.55,0.36,-0.05,-0.38,-0.11
23:55:31:221,1.23,1.58,0.37,-0.01,0.19,-0.15
23:55:31:231,1.25,1.59,0.36,-0.06,1.09,-0.15
23:55:31:242,1.24,1.61,0.37,-0.06,1.21,-0.12
23:55:31:252,1.22,1.59,0.37,-0.05,1.26,-0.09
23:55:31:262,1.24,1.60,0.37,-0.09,1.89,-0.12
23:55:31:272,1.23,1.60,0.37,-0.13,2.61,-0.13
23:55:31:281,1.18,1.58,0.37,-0.07,0.43,-0.07
23:55:31:291,1.20,1.60,0.36,-0.02,-0.27,-0.04
23:55:31:301,1.22,1.59,0.37,-0.09,0.85,-0.05
23:55:31:311,1.21,1.59,0.36,-0.06,-0.12,-0.06
23:55:31:322,1.19,1.58,0.36,0.07,-1.33,-0.03
23:55:31:332,1.21,1.59,0.37,-0.00,-0.79,-0.05
23:55:31:342,1.21,1.61,0.37,0.00,-0.24,-0.07
23:55:31:352,1.23,1.61,0.37,-0.04,-0.05,-0.09
23:55:31:363,1.23,1.60,0.37,-0.05,0.76,-0.05
23:55:31:373,1.24,1.62,0.37,-0.05,0.52,-0.01
23:55:31:383,1.24,1.58,0.36,-0.04,0.05,0.00
23:55:31:393,1.20,1.60,0.36,-0.04,0.48,-0.01
23:55:31:403,1.19,1.57,0.37,0.04,0.05,-0.01
23:55:31:414,1.19,1.57,0.37,0.05,-0.89,-0.03
23:55:31:424,1.22,1.59,0.36,0.07,-0.24,-0.05
23:55:31:434,1.22,1.61,0.37,0.07,0.09,-0.06
23:55:31:444,1.21,1.60,0.37,0.04,-0.45,-0.10
23:55:31:455,1.21,1.61,0.37,0.03,-0.44,-0.06
23:55:31:465,1.24,1.60,0.37,-0.01,0.05,-0.08
23:55:31:475,1.22,1.61,0.37,-0.08,0.53,-0.08
23:55:31:485,1.21,1.60,0.37,-0.08,0.40,-0.06
23:55:31:496,1.21,1.61,0.36,-0.07,0.05,-0.06
23:55:31:506,1.17,1.56,0.36,-0.03,-0.53,-0.05
23:55:31:516,1.21,1.57,0.36,0.06,-0.95,-0.03
23:55:31:526,1.23,1.58,0.36,0.09,-1.46,-0.05
23:55:31:537,1.23,1.60,0.36,0.07,-1.21,-0.05
23:55:31:547,1.23,1.61,0.37,0.05,-1.18,-0.02
23:55:31:557,1.22,1.62,0.37,-0.01,-1.66,-0.02
23:55:31:567,1.26,1.62,0.37,0.00,-1.50,-0.04
23:55:31:578,1.23,1.62,0.37,-0.05,-0.54,-0.09
23:55:31:588,1.22,1.60,0.37,-0.06,0.16,-0.12
23:55:31:598,1.23,1.58,0.36,-0.04,-0.40,-0.09
23:55:31:608,1.22,1.61,0.36,-0.02,-0.05,-0.05
23:55:31:619,1.22,1.61,0.36,-0.04,0.24,-0.07
23:55:31:629,1.21,1.59,0.36,0.06,-0.96,-0.02
23:55:31:639,1.20,1.59,0.37,0.04,-2.37,0.00
23:55:31:649,1.24,1.63,0.37,-0.03,-0.93,-0.07
23:55:31:659,1.25,1.64,0.37,-0.10,0.43,-0.07
23:55:31:668,1.25,1.60,0.36,-0.09,0.51,-0.07
23:55:31:678,1.20,1.60,0.37,-0.06,-0.01,-0.04
23:55:31:688,1.20,1.59,0.37,-0.09,-0.21,-0.06
23:55:31:698,1.21,1.60,0.37,-0.07,0.05,-0.04
23:55:31:709,1.21,1.59,0.36,-0.05,-0.77,-0.03
23:55:31:719,1.20,1.59,0.37,0.00,-1.51,-0.08
23:55:31:729,1.22,1.60,0.37,-0.01,-1.60,-0.05
23:55:31:739,1.23,1.61,0.36,-0.01,-2.03,-0.02
23:55:31:750,1.24,1.60,0.36,0.01,-1.32,-0.04
23:55:31:760,1.23,1.60,0.36,0.05,-0.56,-0.08
23:55:31:770,1.24,1.60,0.37,0.04,-0.54,-0.09
23:55:31:780,1.24,1.60,0.37,-0.03,-0.56,-0.07
23:55:31:791,1.22,1.62,0.37,-0.04,-0.08,-0.11
23:55:31:801,1.23,1.62,0.36,-0.09,0.92,-0.11
23:55:31:811,1.22,1.60,0.36,-0.08,-0.98,-0.06
23:55:31:821,1.23,1.60,0.36,-0.00,-1.90,-0.03
23:55:31:832,1.21,1.62,0.37,-0.07,-0.25,-0.04
23:55:31:842,1.21,1.59,0.37,-0.05,-0.24,-0.08
23:55:31:852,1.24,1.59,0.36,-0.02,-0.47,-0.05
23:55:31:862,1.28,1.61,0.36,-0.05,-0.30,-0.08
23:55:31:872,1.24,1.60,0.37,-0.07,0.63,-0.07
23:55:31:883,1.21,1.59,0.37,-0.01,0.54,-0.06
23:55:31:893,1.20,1.57,0.37,-0.00,-1.17,-0.05
23:55:31:903,1.20,1.59,0.36,0.00,-1.43,-0.08
23:55:31:913,1.22,1.62,0.37,0.01,-1.56,-0.06
23:55:31:924,1.26,1.61,0.36,0.02,-1.63,-0.05
23:55:31:934,1.26,1.62,0.37,-0.00,-2.08,-0.02
23:55:31:944,1.25,1.63,0.36,-0.02,-0.88,-0.05
23:55:31:954,1.25,1.61,0.36,-0.00,-1.68,-0.02
23:55:31:965,1.31,1.62,0.37,-0.01,-1.67,0.00
23:55:31:975,1.23,1.60,0.36,-0.03,-0.85,-0.06
23:55:31:985,1.22,1.59,0.37,-0.05,-0.56,-0.10
23:55:31:995,1.21,1.58,0.36,-0.03,-1.20,-0.09
23:55:32:6,1.21,1.59,0.36,0.04,-2.17,-0.06
23:55:32:16,1.25,1.62,0.36,0.07,-2.01,-0.10
23:55:32:26,1.27,1.63,0.37,0.07,-1.80,-0.03
23:55:32:36,1.27,1.63,0.37,-0.03,-1.24,-0.08
23:55:32:47,1.24,1.63,0.37,-0.08,-0.21,-0.08
23:55:32:57,1.25,1.60,0.37,-0.08,-0.37,-0.05
23:55:32:67,1.24,1.59,0.37,-0.05,-0.41,-0.03
23:55:32:77,1.22,1.58,0.36,-0.02,-0.97,-0.08
23:55:32:88,1.23,1.59,0.36,0.01,-1.27,-0.07
23:55:32:98,1.23,1.59,0.36,-0.01,-1.34,-0.07
23:55:32:108,1.24,1.62,0.36,0.00,-1.11,-0.06
23:55:32:118,1.27,1.60,0.36,0.05,-1.23,-0.08
23:55:32:128,1.25,1.61,0.37,0.04,-1.87,-0.08
23:55:32:139,1.28,1.62,0.37,-0.03,-0.99,-0.07
23:55:33:243,1.45,1.65,0.35,-0.02,-0.97,-0.07
23:55:33:253,1.45,1.65,0.35,-0.04,-2.01,-0.05
23:55:33:263,1.45,1.66,0.36,0.00,-1.01,-0.07
23:55:33:273,1.4,1.65,0.34,-0.01,-0.33,-0.18
23:55:34:375,1.57,1.67,0.35,0.01,-0.40,-0.20
23:55:34:385,1.56,1.67,0.35,-0.02,-0.71,-0.20
23:55:34:394,1.56,1.68,0.35,0.04,-0.77,-0.16
23:55:34:404,1.59,1.68,0.35,0.04,-0.29,-0.18
23:55:34:414,1.54,1.67,0.35,0.06,-1.84,-0.17
23:55:37:664,2.29,0.91,0.34,-0.15,25.48,0.17
23:55:37:674,2.38,0.91,0.35,-0.16,36.44,0.27
23:55:37:685,2.44,0.94,0.35,-0.04,51.35,0.42
23:55:37:695,2.50,0.97,0.36,-0.12,73.91,0.62
23:55:37:705,2.45,0.97,0.38,-0.48,106.45,0.73
23:55:37:715,2.43,1.00,0.39,-0.83,135.05,0.82
23:55:37:726,2.30,0.99,0.38,-1.37,167.83,0.91
23:55:37:736,2.04,0.99,0.37,-1.44,190.40,0.59
23:55:38:801,-0.40,0.44,0.41,-2.90,54.39,-0.40
23:55:38:811,-0.25,0.36,0.39,-2.88,34.31,-0.16
23:55:38:821,-0.29,0.47,0.39,-2.17,27.33,0.10
23:55:38:832,-0.28,0.40,0.39,-1.60,26.10,0.21
23:55:38:842,-0.28,0.39,0.39,-1.12,20.64,0.28
23:55:38:852,-0.22,0.39,0.39,-0.61,16.43,0.50
